Date of Incident,City,Select State,Hazard Description,Inspection Number,Federal or State Plan,Citation Issued Related to Fatality
5/14/2018,Palmer,AK,Worker fatally crushed by crane cab.,1316198,State,No
5/12/2018,King George,VA,Worker fatally struckm by falling tree.,1315681,State,Yes
5/12/2018,Houston,TX,Worker electrocuted when exposed wires contacted ductwork.,1316664,Federal,Yes
5/11/2018,Tucker,GA,Worker electrocuted while changing lamps on sign.,1315548,Federal,Yes
5/11/2018,Jamaica,NY,Worker died in fall down stairs.,1316679,State,No
5/11/2018,Beckley,WV,Worker fatally struck by truck.,1315541,Federal,Yes
5/11/2018,Tyler,TX,Worker crushed by fire truck cab.,1316697,Federal,Yes
5/10/2018,Terry,MS,Worker electrocuted when dump truck contacted power line.,1315546,Federal,Yes
5/10/2018,South Milwaukee,WI,Worker fatally struck by falling metal plate.,1315036,Federal,Yes
5/10/2018,Fountain,CO,Worker electrocuted when derrick contacted overhead power lines.,1315222,Federal,No
5/10/2018,Romex,IN,Worker fatally struck by falling tree.,1320170,State,Yes
5/9/2018,Naples,FL,Worker fatally struck by falling mast.,1314952,Federal,No
5/9/2018,Trabuco Canyon,CA,Worker died in trench collapse.,1314977,State,Yes
5/9/2018,Miami,FL,Worker died in fall from ladder.,1315026,Federal,Yes
5/9/2018,Brooklyn,NY,Woker fatally struck by falling pallet.,1314988,Federal,Yes
5/9/2018,Visalia,CA,Worker fatally stabbed.,1315430,State,No
5/9/2018,Harpersville,AL,Worker died when tool storage container exploded.,1315060,Federal,Yes
5/9/2018,Kinnear,WY,Worker electrocuted by boost pump.,1318542,State,No
5/9/2018,Ono,PA,Worker died when acetylene tanks in van exploded.,1314991,Federal,Yes
5/9/2018,Galveston,TX,Worker fataly struck by falling forklift load.,1314721,Federal,Yes
5/8/2018,Lachine,MI,Worker fatally struck by tube ejected by cutting machine.,1315531,State,No
5/8/2018,Niles,IL,Worker fatally crushed between dryer and conveyer.,1314918,Federal,Yes
5/8/2018,Cottonwood,CA,Worker fatally crushed when ATV overturned.,1314726,State,No
5/8/2018,Frankston,TX,Worker in tree electrocuted after contacing powerline.,1316653,Federal,No
5/8/2018,Bellefontaine,OH,Worker fatally struck by falling tree.,1315012,Federal,Yes
5/8/2018,Unicoi,TN,Worker died after becoming caught in machine.,1314665,State,Yes
5/7/2018,Chatsworth,CA,Worker died in fall from storage rack.,1315647,State,Yes
5/7/2018,Thornton,PA,Worker fatally struck by log.,1314210,Federal,Yes
5/7/2018,East Boston,MA,Worker fatally crushed by falling wall panel.,1317338,Federal,Yes
5/7/2018,Jennings,LA,Worker struck by vehicle.,1325747,Federal,No
5/7/2018,Parnell,IA,Worker fatally struck by truck.,1314530,State,Yes
5/7/2018,Mullins,SC,Worker died in fall through skylight.,1317530,State,Yes
5/7/2018,Aiea,HI,Worker fatally injured after golf cart struck a wall.,1315741,State,Yes
5/7/2018,Dubuque,IA,Worker died in fall from wall opening.,1314893,State,Yes
5/6/2018,Saint Helena Island,SC,Worker died in fall from ladder.,1317533,State,Yes
5/6/2018,Selma,AL,Worker suffered fatal burns from molten silica.,1312671,Federal,Yes
5/5/2018,Salisbury,NC,Worker asphyxiated in confined space.,1314415,State,Yes
5/4/2018,City Of Industry,CA,Worker fatally struck by vehicle.,1317822,State,No
5/4/2018,Clarkston,MI,Worker fatally struck by falling tree branch.,1313672,State,No
5/3/2018,Memphis,TN,Worker died of burns from flash fire.,1330906,State,Yes
5/3/2018,Mount Dora,FL,Worker died in fall through skylight opening.,1314020,Federal,Yes
5/3/2018,Encino,CA,Worker fatally struck by truck.,1315624,State,Yes
5/3/2018,South River,NJ,Worker fatally crushed between two vehicles.,1315566,Federal,No
5/3/2018,Midland,TX,Worker electrocuted after contacting power line.,1313494,Federal,Yes
5/3/2018,Big Lake,TX,Worker fatally struck by pressurized water hose.,1314577,Federal,Yes
5/3/2018,Waurika,OK,Worker fatally struck by skid steer.,1313884,Federal,Yes
5/3/2018,Amity,OR,Worker drowned.,1314430,State,No
5/3/2018,Honolulu,HI,Worker fatally crushed when forklift tipped over.,1314738,State,Yes
5/3/2018,Sioux Falls,SD,Worker died when excation wall collapsed.,1313562,Federal,Yes
5/3/2018,Benton,AR,Worker died in fall from roof.,1314089,Federal,Yes
5/2/2018,Jacksonville,FL,Worker died in fall from bucket truck.,1313319,Federal,Yes
5/2/2018,Birmingham,AL,Worker died in fall from forklift.,1313909,Federal,Yes
5/2/2018,Institute,WV,Worker fatally struck by crane load.,1313693,Federal,Yes
5/2/2018,Paauilo,HI,Worker fatally struck by pole.,1315071,State,Yes
5/2/2018,Shakopee,MN,Worker died after falling over and striling head.,1319163,State,No
5/1/2018,Prescott,AZ,Worker died in fall from roof.,1313334,State,Yes
5/1/2018,North Wilkesboro,NC,Worker electrocuted when contacting power line.,1313767,State,Yes
5/1/2018,Sonoma,CA,Worker fatally crushed under mower attachment.,1313286,State,No
5/1/2018,Villas,NJ,Woker fatally struck by wooden ledger.,1314238,Federal,Yes
5/1/2018,Richland Hills,TX,Worker died in fall from ladder.,1326359,Federal,Yes
5/1/2018,Many,LA,Worker fatally crushed under boat when strap broke.,1316295,Federal,Yes
5/1/2018,Orange City,FL,Worker fatally struck by paver.,1313929,Federal,Yes
5/1/2018,Mount Juliet,TN,Worker died in fall from structure.,1315039,State,Yes
5/1/2018,Danvers,MA,Worker fatally struck by falling air filter.,1312645,Federal,No
5/1/2018,Columbia,SC,Worker died after becoming caught between scissor lift and ceiling.,1314419,State,Yes
5/1/2018,Ogden,UT,Worker fatally crushed inside machine.,1312597,State,No
5/1/2018,South Kingstown,RI,Worker electrocuted when lift contacted power line.,1313269,Federal,No
4/30/2018,Atlanta,GA,Worker fatally crushed between forklift and tractor trailer.,1312312,Federal,Yes
4/30/2018,Mannford,OK,Worker died in fall through ceiling.,1312586,Federal,Yes
4/30/2018,Oak Park,MI,Worker electrocuted after contacting energized conductor.,1312936,State,No
4/30/2018,Horicon,WI,Worker died in fall from ladder.,1313206,Federal,No
4/29/2018,Hennessey,OK,Worker fatally struck by high pressure water while inspecting valve leak.,1314038,Federal,No
4/28/2018,Crystal Beach,FL,Worker died in fall from ladder.,1312587,Federal,No
4/27/2018,Oakland,CA,Worker fatally struck by steel beam.,1312682,State,Yes
4/27/2018,Verdi,NV,Worker fatally struck by vehicle.,1312125,State,Yes
4/27/2018,Wyandotte,MI,Worker fatally struck by cast iron plate.,1312669,State,No
4/27/2018,Plano,TX,Worker suffered fatal fall from ladder.,1312636,Federal,Yes
4/27/2018,Cape Coral,FL,Worker fatally crushed by truck being towed.,1313813,Federal,No
4/27/2018,Vernon,CT,Worker died in fall from stairwell opening.,1311810,Federal,No
4/27/2018,Angola,IN,Worker in trench fatally crushed by falling sewer pipe.,1313075,State,Yes
4/26/2018,Calion,AR,Worker fatally struck by crane boom.,1314312,Federal,Yes
4/26/2018,Elba,AL,Worker died in fall from roof.,1312304,Federal,No
4/26/2018,Houston,TX,Worker fatally crushed by glass doors.,1319060,Federal,No
4/26/2018,Clifton,NJ,Worker died in fall from roof.,1311421,Federal,No
4/25/2018,Casper,WY,Worker fatally crushed between building and ground.,1311865,State,Yes
4/25/2018,Savannah,GA,Worker fatally struck by jockey truck.,1312823,Federal,Yes
4/25/2018,Queen Anne,MD,Worker fatally struck by falling tree.,1312423,State,No
4/25/2018,Bloomington,IN,Worker died after being struck by falling stone.,1311957,State,Yes
4/25/2018,Austin,TX,Worker fatally crushed under bus when jacks slipped.,1311695,Federal,Yes
4/24/2018,Rock Valley,IA,Worker fatally crushed by pay loader.,1310851,State,Yes
4/24/2018,Piperton,TN,Worker died in fall from roof.,1311108,State,Yes
4/23/2018,Wentzville,MO,Worker died after becoming caught in rotating agitator.,1310861,Federal,Yes
4/23/2018,Canton,NC,Worker died in vehicle collision.,1310906,State,No
4/23/2018,Hillside,IL,Worker died in fall from forklift.,1311060,Federal,No
4/23/2018,Dandridge,TN,Worker fatally crushed between scissor lift platform and machinery framework.,1311286,State,Yes
4/23/2018,Romeoville,IL,Worker died after being struck by falling equipment.,1312905,Federal,No
4/22/2018,Ashland,WI,Worker died in fall to ground after slipping on snow/ice.,1312510,Federal,Yes
4/21/2018,San Juan,PR,Worker electrocuted when contacting power line.,1310503,State,Yes
4/21/2018,Severn,MD,Worker died from fire-related injuries and smoke inhalation.,1315863,State,No
4/20/2018,San Juan,PR,Worker electrocuted by live cable.,1310731,State,Yes
4/20/2018,Hanson,MA,Worker died in fall from staircase.,1313526,Federal,No
4/20/2018,Batesville,AR,Worker fatally struck by forklift.,1311678,Federal,Yes
4/19/2018,Bronx,NY,Worker fatally struck by hoist.,1310180,Federal,Yes
4/19/2018,Fordland,MO,One worker died and three others injuried after communication tower collapsed.,1309996,Federal,No
4/19/2018,Elkader,IA,Worker died in fall down stairs.,1323522,State,Yes
4/18/2018,Tucson,AZ,Worker fatally struck by skid steer.,1310189,State,No
4/18/2018,Grove City,OH,Worker fatally crushed between elevator platform and hydraulic tank.,1309835,Federal,Yes
4/18/2018,Albuquerque,NM,Worker died after becoming caught in conveyor belt.,1312275,State,No
4/18/2018,Fort Walton Beach,FL,Worker died in fall from bucket truck.,1309968,Federal,Yes
4/18/2018,Grass Valley,CA,Worker died from smoke inhalation.,1309507,State,No
4/17/2018,Meridian,MS,Worker fatally struck by forklift forks.,1309182,Federal,Yes
4/16/2018,Oakland,OR,Worker died after becoming caught in drive shaft.,1309279,State,No
4/16/2018,Tuscaloosa,AL,Worker fatally pinned by forklift.,1309440,Federal,Yes
4/16/2018,Somerset,PA,Worker fatally injured while unjamming truck hydraulic pistons.,1309064,Federal,Yes
4/16/2018,Norfolk,NE,Worker fatally crushed by steel roll.,1309081,Federal,No
4/16/2018,San Marcos,TX,Worker died in fall from scaffold.,1310887,Federal,Yes
4/14/2018,Trumbull,CT,Worker died in fall while strapped to tree trunk that gave way.,1308843,Federal,Yes
4/14/2018,Mineola,NY,Worker died in fall from ladder.,1308874,Federal,No
4/14/2018,Big Lake,TX,Worker died from exposure to hydrogen sulfide.,1309335,Federal,Yes
4/14/2018,West Monroe,LA,Worker fatally crushed by suction couch roller.,1308857,Federal,Yes
4/13/2018,South Hill,VA,Worker fatally crushed between hydraulic trailer bed and frame.,1308803,State,No
4/13/2018,New York,NY,Worker fatally crushed by garbage dumpster.,1309404,Federal,No
4/13/2018,New Hope,PA,Worker killed in fall over guardrail.,1308521,Federal,Yes
4/13/2018,Hurst,TX,Worker died in fall from ladder.,1308589,Federal,No
4/12/2018,Maitland,FL,Worker died in fall from roof.,1308863,Federal,Yes
4/12/2018,Johnstown,PA,Worker electrocuted when forklift contacted power lines.,1308786,Federal,Yes
4/12/2018,Annapolis,MD,Worker in crane basket died when boom arm suddenly retracted.,1310334,State,No
4/11/2018,Newnan,GA,Worker fatally crushed by furnace door.,1308231,Federal,Yes
4/11/2018,Miami,FL,Worker fatally struck by tree.,1308194,Federal,Yes
4/11/2018,Lake City,SC,Worker fatally crushed between aerial lift and beam.,1308998,State,No
4/11/2018,Hooppole,IL,Worker died in fall from grain bin.,1308596,Federal,Yes
4/11/2018,Shelbyville,TN,Worker died in fall.,1308572,State,Yes
4/11/2018,Whitesboro,NY,Worker died in vehicle collision.,1311317,State,No
4/10/2018,Van Nuys,CA,Worker died in fall from roof.,1313401,State,Yes
4/10/2018,Phoenix,AZ,Worker fatally struck by piece of tree.,1308586,State,No
4/10/2018,Carteret,NJ,Worker died in fall from forklift forks.,1307675,Federal,Yes
4/10/2018,Atlanta,GA,Worker electrocuted while relocating outdoor light conduit.,1307935,Federal,Yes
4/10/2018,Lost Hills,CA,Worker died in fall from truck ladder.,1307819,State,No
4/10/2018,Irvington,NY,Worker fatally stabbed by co-worker.,1308221,Federal,No
4/10/2018,Atherton,CA,Worker died in fall from beam.,1308945,State,No
4/9/2018,Chalmette,LA,Worker fatally struck by a falling bolt.,1307742,Federal,Yes
4/9/2018,San Ramon,CA,Worker died after being caught in stump grinder.,1308243,State,No
4/9/2018,Coos Bay,OR,Worker fatally struck by log.,1308013,State,No
4/9/2018,Modesto,CA,Workers electrocuted when light post contacted overhead power line.,1307467,State,Yes
4/7/2018,Guaynabo,PR,Worker electrocuted after contacting power line.,1307390,State,No
4/7/2018,Clearfield,UT,Worker fatally crushed by recycler machine rollers.,1307364,State,No
4/6/2018,Springfield,MO,Worker fatally struck by lawn mower.,1308608,Federal,Yes
4/6/2018,Mesa,AZ,Worker died in fall from ladder.,1307532,State,No
4/6/2018,Miami Gardens,FL,Worker electrocuted by junction box.,1307537,Federal,Yes
4/6/2018,Clinton,IA,Worker electrocuted when metal ladder contacted overhead power line.,1307860,State,Yes
4/6/2018,Century,FL,Worker died in vehicle collission.,1307217,Federal,No
4/5/2018,Roanoke,VA,Worker fatally struck by truck.,1306701,State,No
4/5/2018,Fort Worth,TX,Worker fatally crushed between excavator bucket and wall.,1307091,Federal,Yes
4/5/2018,Enterprise,MS,Worker fatally struck by truck.,1306431,Federal,Yes
4/5/2018,Lackawanna,NY,Worker asphyxiated after being caught in conveyer.,1307071,Federal,Yes
4/4/2018,Crownsville,MD,Worker drowned after kayak overturned.,1307491,Federal,Yes
4/4/2018,Baldwyn,MS,Worker electrocuted after contacting power line.,1306095,Federal,Yes
4/4/2018,Severance,CO,Worker fatally struck by falling steel beam.,1306267,Federal,No
4/4/2018,Evansville,IN,Worker drowned when lawn mower rolled over into lake.,1317540,State,Yes
4/4/2018,Milton,TN,Worker electrocuted when boom truck contacted overhead power line.,1306972,State,Yes
4/4/2018,Palm Coast,FL,Worker fatally struck by vehicle.,1306504,Federal,Yes
4/4/2018,Palm Coast,FL,Worker fatally struck by vehicle.,1306693,Federal,No
4/4/2018,Bronx,NY,Worker fatally struck by vehicle.,1307411,State,No
4/3/2018,Cement,OK,Worker died in fall from derrick.,1306821,Federal,Yes
4/3/2018,Goshen,NY,Worker fatally struck by vehicle.,1307382,Federal,No
4/3/2018,Henrico,VA,Worker electrocuted while testing circuit.,1306143,State,No
4/3/2018,Everett,MA,Worker fatally struck by trench box.,1306710,Federal,No
4/2/2018,Brooklyn,NY,Worker fatally crushed between hoist and hand truck.,1306489,Federal,No
4/2/2018,Utica,MS,Worker died in fall from ladder.,1306135,Federal,No
4/2/2018,Wallingford,CT,Worker fatally struck by bucket loader.,1306229,Federal,No
4/2/2018,Trinidad,CA,Worker died after being struck by chainsaw.,1305881,State,No
4/2/2018,Wadsworth,OH,Worker died from chemical exposure.,1300600,Federal,Yes
3/31/2018,Monroe,LA,Worker drowned after fall from riding lawn mower.,1342894,Federal,No
3/31/2018,Shelbyville,IN,Worker died after being struck by plastic blow molding machine.,1305972,State,Yes
3/30/2018,Odessa,TX,Worker fatally crushed when load rolled off trailer.,1307452,Federal,No
3/30/2018,Fernandina Beach,FL,Worker fatally struck by falling plywood panel.,1309349,Federal,Yes
3/30/2018,Los Angeles,CA,Worker died in fall from ladder.,1305515,State,Yes
3/30/2018,Long Island City,NY,Worker fatally crushed between slabs of quartz.,1306241,Federal,No
3/30/2018,Hauppauge,NY,Worker died after being struck by explosion debris.,1305453,Federal,No
3/30/2018,Novato,CA,Worker fatally crushed by forklift attachment.,1305674,State,No
3/30/2018,New Market,TN,Worker fatally struck by tree.,1306470,State,Yes
3/30/2018,Glendale,KY,Worker died in fall from billboard catwalk.,1305704,State,Yes
3/30/2018,Portland,OR,Worker fatally crushed between lift arms and track loader.,1305725,State,No
3/30/2018,Fairport Harbor,OH,Worker died after being struck by garage door.,1306698,Federal,Yes
3/29/2018,Rochelle,GA,Worker died in fall from roof.,1316960,Federal,Yes
3/29/2018,Hopkinsville,KY,Worker fatally crushed by machine part.,1305702,State,Yes
3/29/2018,Honolulu,HI,Worker died in fall through roof.,1306154,State,Yes
3/29/2018,Grand View,ID,Worker died in vehicle collision.,1309230,Federal,No
3/28/2018,Midkiff,TX,Worker fatally struck by wrench.,1306376,Federal,No
3/28/2018,Concord,CA,Worker died in fall from scissor lift.,1305026,State,No
3/28/2018,Sioux City,IA,Worker fatally struck by railroad tank car.,1305179,State,Yes
3/28/2018,Mc Kees Rocks,PA,Worker fatally crushed between two trucks.,1305434,Federal,No
3/28/2018,Greer,SC,Worker fatally struck by vertical lift counterweight.,1305696,State,Yes
3/28/2018,Breckenridge,MI,Worker died in fall from ladder.,1371066,State,No
3/27/2018,Houston,TX,Worker died in fall from collapsed load.,1305550,Federal,Yes
3/27/2018,Nampa,ID,Worker died in fall from scaffold.,1304682,Federal,Yes
3/27/2018,Flushing,NY,Worker fatally struck by bus that was backing up.,1309129,State,No
3/26/2018,Oxnard,CA,Worker fatally struck by falling rack storage system.,1304647,State,Yes
3/26/2018,Costa Mesa,CA,Worker died in fall from tree.,1304093,State,No
3/26/2018,Harrisville,WV,Worker died in fall from roof.,1305187,Federal,No
3/26/2018,Las Vegas,NV,Worker fatally crushed by forklift boom.,1319120,State,Yes
3/26/2018,Danbury,CT,Worker died after being struck by falling tree trunk.,1305485,Federal,No
3/26/2018,Corinne,UT,Worker died after being engulfed by ignited material.,1304229,State,No
3/25/2018,Upton,MA,Worker died from exposure to carbon monoxide gas.,1308166,Federal,No
3/25/2018,Sutton,WV,Worker fatally struck by falling tree.,1303978,Federal,Yes
